Year,Town_Code,town,2010_Census_Units,Government_Assisted,Tenant_Rental_Assistance,_Single_Family_CHFA/_USDA_Mortgages,Deed_Restricted_Units,Total_Assisted_Units,Percent_Affordable,AgAsslt,AllOthr,Arson,Burgl,Curfew,DUI,Disord,DrugTot,Embezzl,Family,Forgery,Fraud,Gamble,Larceny,Liquor,MVTheft,Murder,NgMansl,Prostit,Rape,Robbery,Runaway,SexOff,SmAsslt,StlProp,Vagrncy,Vandal,Weapons,violent_crime,non_violent_crime
2017,73,Lisbon,1730,2.0,0,55,0,57,3.29,1.0,11.0,0.0,2.0,0.0,18.0,2.0,8.0,0.0,0.0,0.0,3.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,93.0
2017,74,Litchfield,3975,140.0,6,26,19,191,4.81,0.0,149.0,0.0,3.0,0.0,32.0,34.0,12.0,0.0,4.0,0.0,2.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,25.0,278.0
2017,75,Lyme,1223,0.0,0,2,8,10,0.82,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,2.0,19.0
2017,76,Madison,8049,90.0,3,8,29,130,1.62,0.0,23.0,0.0,6.0,0.0,27.0,13.0,7.0,0.0,4.0,0.0,1.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,7.0,100.0
2017,77,Manchester,25996,1830.0,936,854,34,3654,14.06,56.0,794.0,2.0,82.0,0.0,209.0,20.0,212.0,9.0,3.0,28.0,43.0,0.0,466.0,7.0,18.0,1.0,0.0,5.0,4.0,31.0,0.0,14.0,935.0,31.0,0.0,22.0,13.0,954.0,2949.0
2017,78,Mansfield,6017,175.0,133,106,2,416,6.91,2.0,23.0,0.0,11.0,0.0,61.0,22.0,12.0,0.0,4.0,4.0,0.0,0.0,59.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,0.0,19.0,228.0
2017,79,Marlborough,2389,24.0,2,23,0,49,2.05,1.0,13.0,0.0,0.0,0.0,30.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,66.0
2017,80,Meriden,25892,2027.0,1163,956,11,4157,16.06,56.0,746.0,2.0,37.0,0.0,100.0,160.0,213.0,0.0,23.0,3.0,8.0,0.0,212.0,4.0,0.0,1.0,0.0,8.0,5.0,27.0,0.0,9.0,754.0,4.0,0.0,85.0,21.0,769.0,2422.0
2017,81,Middlebury,2892,76.0,4,22,20,122,4.22,1.0,5.0,0.0,11.0,0.0,0.0,8.0,4.0,0.0,3.0,0.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,8.0,54.0
2017,82,Middlefield,1863,30.0,3,14,1,48,2.58,2.0,4.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,9.0,33.0
2017,83,Middletown,21223,3019.0,1057,473,25,4574,21.55,23.0,508.0,0.0,11.0,1.0,98.0,101.0,151.0,2.0,39.0,9.0,6.0,0.0,143.0,1.0,10.0,0.0,0.0,5.0,1.0,8.0,0.0,5.0,341.0,3.0,12.0,24.0,13.0,347.0,1492.0
2017,84,Milford,23074,726.0,233,188,87,1234,5.35,16.0,250.0,3.0,40.0,0.0,58.0,132.0,126.0,0.0,6.0,16.0,7.0,0.0,319.0,0.0,1.0,0.0,0.0,0.0,3.0,18.0,0.0,7.0,209.0,0.0,0.0,22.0,13.0,219.0,1230.0
2017,85,Monroe,6918,32.0,4,43,1,80,1.16,5.0,6.0,0.0,6.0,0.0,83.0,16.0,7.0,0.0,0.0,0.0,3.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,18.0,0.0,0.0,0.0,2.0,19.0,175.0
2017,86,Montville,7407,81.0,50,247,0,378,5.1,6.0,254.0,0.0,1.0,0.0,84.0,46.0,33.0,0.0,9.0,1.0,3.0,0.0,18.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,46.0,0.0,0.0,2.0,8.0,48.0,513.0
